================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: index-desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.6416, -17.2179, -15.6495, -16.3562]
>> QUESTION #57    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.9255, -17.874, -16.0852, -14.1617]
>> QUESTION #58    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.2344, -17.8391, -17.056, -16.2]
>> QUESTION #59    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.6898, -16.5191, -16.2995, -16.1331]
>> QUESTION #60    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.7583, -20.6085, -15.6405, -14.3983]
>> QUESTION #61    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.8669, -16.6054, -17.6056, -14.3378]
>> QUESTION #62    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.64, -13.7588, -14.2732, -14.1115]
>> QUESTION #63    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.9271, -17.7972, -13.8795, -16.3389]
>> QUESTION #64    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.8606, -17.9839, -16.2062, -19.972]
>> QUESTION #65    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.1506, -14.7069, -17.0633, -17.3545]
>> QUESTION #66    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-17.2431, -15.5133, -16.1261, -14.0377]
>> QUESTION #67    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.3234, -13.6121, -17.8045, -16.5145]
>> QUESTION #68    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-16.7974, -17.1438, -16.863, -17.2103]
>> QUESTION #69    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.7301, -17.0935, -14.4359, -14.531]
>> QUESTION #70    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.9116, -15.8824, -14.8832, -16.7582]
>> QUESTION #71    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.6159, -14.7792, -14.9631, -15.804]
>> QUESTION #72    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.1457, -16.774, -15.1331, -15.9486]
>> QUESTION #73    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.267, -17.2456, -16.4313, -17.109]
>> QUESTION #74    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-13.8389, -18.2146, -16.0545, -17.0119]
>> QUESTION #75    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.9038, -17.3319, -16.9746, -17.5825]
>> QUESTION #76    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.7612, -14.9986, -15.711, -14.6353]
>> QUESTION #77    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.1167, -16.8056, -17.7524, -14.9266]
>> QUESTION #78    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.7856, -17.0738, -17.0717, -16.5984]
>> QUESTION #79    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.6568, -13.7948, -17.6258, -19.3238]
>> QUESTION #80    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.2721, -17.772, -14.3435, -16.664]
>> QUESTION #81    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.7313, -18.2165, -16.9556, -16.015]
>> QUESTION #82    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.6127, -16.2876, -16.1492, -15.9984]
>> QUESTION #83    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.0966, -16.3575, -17.7235, -16.7608]
>> QUESTION #84    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.5219, -15.984, -16.9074, -15.1776]
>> QUESTION #85    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.7595, -16.8736, -15.7461, -14.301]
>> QUESTION #86    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.2592, -18.4503, -14.3746, -17.4721]
>> QUESTION #87    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-16.8646, -17.8205, -17.8131, -17.8743]
>> QUESTION #88    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.0248, -15.8965, -15.0422, -16.2495]
>> QUESTION #89    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.0497, -14.2506, -15.28, -17.6648]
>> QUESTION #90    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.9396, -17.6879, -17.5285, -14.4067]
>> QUESTION #91    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.3964, -14.3033, -19.0826, -16.5989]
>> QUESTION #92    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.4759, -16.2596, -13.8939, -16.8013]
>> QUESTION #93    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.5649, -16.3143, -14.5272, -14.2811]
>> QUESTION #94    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.1371, -17.3177, -17.5326, -13.9279]
>> QUESTION #95    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.7384, -17.875, -17.1039, -14.7011]
>> QUESTION #96    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.314, -14.1906, -16.5893, -17.7051]
>> QUESTION #97    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.0718, -16.5741, -16.2762, -14.7899]
>> QUESTION #98    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-13.8114, -14.4812, -15.8359, -15.2017]
>> QUESTION #99    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.6496, -16.1919, -16.7125, -16.9409]
>> QUESTION #100   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.4427, -17.0611, -14.225, -19.0943]
>> QUESTION #101   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.222, -14.5784, -17.3431, -16.1639]
>> QUESTION #102   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-18.3117, -15.2213, -16.5384, -16.5997]
>> QUESTION #103   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-18.3671, -17.123, -16.597, -19.9942]
>> QUESTION #104   | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-17.2699, -15.235, -18.4328, -15.9527]
>> QUESTION #105   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.9971, -16.7178, -16.7085, -14.6556]
>> QUESTION #106   | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-15.2689, -15.267, -17.6316, -16.8002]
>> QUESTION #107   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.7489, -14.271, -16.3036, -16.459]
>> QUESTION #108   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.1829, -14.1337, -16.1263, -16.4151]
>> QUESTION #109   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.7654, -18.5191, -14.0859, -18.3252]
>> QUESTION #110   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-15.2383, -16.9644, -15.2902, -14.6127]
>> QUESTION #111   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.7847, -18.6073, -13.9513, -16.1668]
>> QUESTION #112   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.3123, -16.5453, -14.9288, -16.0402]
>> QUESTION #113   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.0794, -15.6019, -15.2309, -14.2878]
>> QUESTION #114   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-16.9608, -18.3643, -14.7693, -16.7153]
>> QUESTION #115   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.3619, -14.7966, -17.0474, -16.7434]
>> QUESTION #116   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.0333, -13.8023, -16.3327, -16.608]
>> QUESTION #117   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.7722, -16.8242, -14.2166, -15.9498]
>> QUESTION #118   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.1289, -14.8531, -15.4556, -15.2679]
>> QUESTION #119   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-18.6078, -13.721, -16.5949, -16.0796]
>> QUESTION #120   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.373, -14.3192, -17.4922, -17.0217]
>> QUESTION #121   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.4248, -15.3664, -14.1765, -15.0511]
>> QUESTION #122   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.1512, -17.5799, -15.9603, -17.5831]
>> QUESTION #123   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.5444, -14.464, -16.2876, -15.7205]
>> QUESTION #124   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.042, -15.3718, -15.4504, -17.0234]
>> QUESTION #125   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.4238, -15.2806, -15.9867, -15.3411]
>> QUESTION #126   | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-15.2669, -13.8977, -18.6889, -16.4776]
>> QUESTION #127   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.9194, -16.8973, -14.3125, -16.2741]
>> QUESTION #128   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.8445, -16.9541, -19.3126, -15.164]
>> QUESTION #129   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.6881, -16.3565, -16.2726, -15.6336]
>> QUESTION #130   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.8326, -16.2981, -17.381, -15.0037]
>> QUESTION #131   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-16.9128, -16.3523, -16.6097, -15.2976]
>> QUESTION #132   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-13.7278, -16.2245, -15.8312, -15.0406]
>> QUESTION #133   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.3862, -17.395, -16.8935, -15.9812]
>> QUESTION #134   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.0008, -14.817, -16.7504, -16.1306]
>> QUESTION #135   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.5539, -17.0964, -15.4989, -15.3177]
>> QUESTION #136   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.8975, -13.9446, -17.6384, -16.6499]
>> QUESTION #137   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.619, -15.317, -15.6894, -14.3306]
>> QUESTION #138   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-18.1169, -14.4907, -19.5589, -16.4034]
>> QUESTION #139   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.9815, -15.4064, -14.865, -17.3759]
>> QUESTION #140   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.0892, -17.0609, -16.4618, -15.9557]
>> QUESTION #141   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.5539, -16.9941, -15.3741, -15.7701]
>> QUESTION #142   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.9462, -17.3634, -16.7157, -16.2424]
>> QUESTION #143   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.6554, -19.4633, -15.7328, -14.5781]
>> QUESTION #144   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-17.1839, -16.8618, -16.6661, -16.6757]
>> QUESTION #145   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.4549, -15.499, -15.8403, -14.575]
>> QUESTION #146   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.7495, -18.9478, -19.0479, -18.2438]
>> QUESTION #147   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.3797, -13.319, -17.7607, -15.8491]
>> QUESTION #148   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.6714, -16.1009, -15.482, -17.1534]
>> QUESTION #149   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.4694, -14.6811, -18.6571, -16.4675]
>> QUESTION #150   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.5545, -17.181, -17.0642, -14.6987]
>> QUESTION #151   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.8121, -14.8737, -17.8844, -18.993]
>> QUESTION #152   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.4492, -14.4538, -14.2408, -16.6947]
>> QUESTION #153   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.1512, -16.2945, -17.5894, -16.4412]
>> QUESTION #154   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-18.4348, -19.2431, -14.0028, -16.3719]
>> QUESTION #155   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.5273, -16.2446, -15.7094, -15.0886]
>> QUESTION #156   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-16.7682, -16.828, -19.0788, -15.4903]
>> QUESTION #157   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.9301, -14.0273, -17.2152, -15.6389]
>> QUESTION #158   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-18.5921, -19.574, -18.2781, -14.6364]
>> QUESTION #159   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.6456, -17.0618, -14.5137, -16.3024]
>> QUESTION #160   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.5587, -16.6513, -14.1009, -16.3756]
>> QUESTION #161   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.709, -17.7572, -14.6217, -16.9266]
>> QUESTION #162   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-16.9282, -17.0787, -13.8055, -17.4054]
>> QUESTION #163   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.4297, -19.3366, -16.0315, -15.9028]
>> QUESTION #164   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.6562, -14.1544, -15.4348, -16.0151]
>> QUESTION #165   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.9421, -21.6723, -20.8794, -20.2185]
>> QUESTION #166   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-16.2778, -16.043, -14.653, -14.4465]
>> QUESTION #167   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-13.7742, -16.0941, -16.0028, -15.3559]
>> QUESTION #168   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.7907, -14.5131, -16.0323, -17.7539]
>> QUESTION #169   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-15.989, -17.3109, -16.4161, -13.5109]
>> QUESTION #170   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.7005, -14.827, -17.177, -16.2467]
>> QUESTION #171   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.5001, -14.5281, -14.945, -15.695]
>> QUESTION #172   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.056, -14.5431, -16.7212, -17.0458]
>> QUESTION #173   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-21.4531, -14.2419, -14.069, -14.3953]
>> QUESTION #174   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.0641, -13.8474, -16.4247, -17.1965]
>> QUESTION #175   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.306, -14.3092, -17.096, -17.7841]
>> QUESTION #176   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.4226, -16.7889, -19.1027, -19.441]
>> QUESTION #177   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.3596, -18.2982, -19.3988, -16.6817]
>> QUESTION #178   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.9172, -17.9918, -17.4785, -18.1241]
>> QUESTION #179   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.1744, -17.1919, -15.509, -15.8028]
>> QUESTION #180   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.6979, -15.3068, -14.1124, -16.2085]
>> QUESTION #181   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-18.019, -17.7992, -17.9562, -13.9558]
>> QUESTION #182   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.1556, -17.2971, -14.5312, -15.9581]
>> QUESTION #183   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.462, -17.578, -16.1191, -15.093]
>> QUESTION #184   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.8932, -14.3241, -14.3148, -17.3454]
>> QUESTION #185   | Ground Truth: 3 | Answer: 2 | ✘
