================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.6638, -17.155, -17.725, -15.2269]
>> QUESTION #31    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.1564, -13.407, -14.2312, -19.6527]
>> QUESTION #32    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.9987, -16.1378, -12.3555, -15.5299]
>> QUESTION #33    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.0796, -14.7793, -13.1886, -16.1728]
>> QUESTION #34    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-15.8226, -17.5004, -16.9355, -15.3091]
>> QUESTION #35    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.6746, -15.3688, -13.4178, -14.5756]
>> QUESTION #36    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.7272, -14.8629, -14.3728, -12.7214]
>> QUESTION #37    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-15.6619, -15.5339, -16.9324, -15.4568]
>> QUESTION #38    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.1178, -13.069, -13.8313, -16.3503]
>> QUESTION #39    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.4692, -15.2188, -15.4151, -14.2917]
>> QUESTION #40    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.4315, -14.9942, -17.8421, -19.6353]
>> QUESTION #41    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-15.6964, -14.3216, -13.0809, -15.2719]
>> QUESTION #42    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.5025, -13.0697, -14.761, -13.5966]
>> QUESTION #43    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-20.832, -16.5992, -20.1302, -12.9203]
>> QUESTION #44    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.9487, -16.3067, -13.2134, -14.4955]
>> QUESTION #45    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.9947, -14.6122, -14.3286, -15.0785]
>> QUESTION #46    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.7366, -15.4432, -15.3292, -13.3101]
>> QUESTION #47    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.0775, -13.8416, -14.5141, -16.7584]
>> QUESTION #48    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.7084, -14.0265, -12.6369, -19.7187]
>> QUESTION #49    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-13.1911, -13.4469, -13.4803, -14.1555]
>> QUESTION #50    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.8867, -13.9046, -14.0959, -12.8878]
>> QUESTION #51    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-17.2931, -15.0651, -12.2582, -15.7799]
>> QUESTION #52    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-15.4353, -14.988, -12.8392, -15.4225]
>> QUESTION #53    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.9248, -14.1917, -13.7932, -12.9464]
>> QUESTION #54    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.9758, -15.3901, -13.0273, -15.1615]
>> QUESTION #55    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.8602, -18.3199, -14.2585, -15.2909]
>> QUESTION #56    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.7646, -14.5782, -13.1902, -14.7503]
>> QUESTION #57    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.6276, -16.1285, -15.0847, -12.8221]
>> QUESTION #58    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.375, -16.2008, -15.1449, -14.2543]
>> QUESTION #59    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-15.7658, -14.5848, -14.0451, -14.1883]
>> QUESTION #60    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.1206, -19.893, -13.8417, -13.0476]
>> QUESTION #61    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.7583, -15.7583, -15.6196, -12.5443]
>> QUESTION #62    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.1272, -12.0534, -12.043, -12.2822]
>> QUESTION #63    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.2875, -16.3115, -12.1601, -15.1218]
>> QUESTION #64    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.6227, -16.7442, -14.7282, -19.2011]
>> QUESTION #65    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.3311, -13.5938, -15.4474, -16.0824]
>> QUESTION #66    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-16.8588, -14.0392, -13.7305, -12.2426]
>> QUESTION #67    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.2664, -12.4482, -15.4479, -13.8228]
>> QUESTION #68    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.732, -15.5248, -15.7816, -15.3512]
>> QUESTION #69    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.3091, -16.4015, -12.8592, -12.9633]
>> QUESTION #70    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.3263, -13.8995, -13.1301, -15.0753]
>> QUESTION #71    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.4598, -14.4549, -12.5479, -14.7411]
>> QUESTION #72    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.1634, -15.2637, -13.8848, -14.6087]
>> QUESTION #73    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.813, -15.7396, -14.6814, -14.9973]
>> QUESTION #74    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.955, -15.9913, -14.3267, -15.3686]
>> QUESTION #75    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.6877, -15.9595, -15.444, -15.805]
>> QUESTION #76    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.5268, -13.1731, -13.6116, -12.7739]
>> QUESTION #77    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.5228, -15.43, -16.0595, -13.4657]
>> QUESTION #78    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.0338, -14.2867, -15.0373, -15.3218]
>> QUESTION #79    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.2524, -12.8999, -13.5876, -18.2797]
>> QUESTION #80    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.8366, -15.7838, -12.7414, -14.8881]
>> QUESTION #81    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.8165, -16.6744, -14.3854, -14.0001]
>> QUESTION #82    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.957, -14.7213, -14.7894, -14.915]
>> QUESTION #83    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.6782, -14.5415, -16.2667, -15.3321]
>> QUESTION #84    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.9479, -14.9912, -15.0225, -13.3882]
>> QUESTION #85    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.81, -16.8679, -14.4728, -13.1698]
>> QUESTION #86    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.9551, -17.6755, -12.8627, -16.0069]
>> QUESTION #87    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.9197, -15.5476, -15.5949, -16.1757]
>> QUESTION #88    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.7542, -14.742, -13.5462, -14.3535]
>> QUESTION #89    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.7677, -13.2526, -13.0597, -15.9307]
>> QUESTION #90    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.8499, -16.2216, -16.0048, -12.6701]
>> QUESTION #91    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.3487, -13.1888, -17.388, -14.8343]
>> QUESTION #92    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.9303, -15.181, -12.5653, -15.6886]
>> QUESTION #93    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.154, -13.5559, -12.0439, -11.7399]
>> QUESTION #94    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.7236, -15.0791, -15.5227, -11.7925]
>> QUESTION #95    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.8417, -16.4685, -15.6146, -12.9211]
>> QUESTION #96    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.4505, -13.2634, -14.9582, -15.9956]
>> QUESTION #97    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.3522, -14.8966, -14.8526, -13.359]
>> QUESTION #98    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.5774, -12.8241, -13.8932, -13.4614]
>> QUESTION #99    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-14.7436, -15.2119, -14.6961, -15.721]
>> QUESTION #100   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.2409, -15.4199, -13.1039, -18.8341]
>> QUESTION #101   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.5537, -10.8722, -15.5275, -14.1629]
>> QUESTION #102   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.2163, -13.7128, -14.577, -14.6942]
>> QUESTION #103   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-18.1413, -15.88, -15.0462, -19.282]
>> QUESTION #104   | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-17.6457, -14.7914, -18.3111, -16.6595]
>> QUESTION #105   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.3724, -14.8565, -14.6796, -13.0185]
>> QUESTION #106   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.5985, -16.1599, -16.5101, -16.9598]
>> QUESTION #107   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.662, -12.9794, -13.8789, -14.9443]
>> QUESTION #108   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.2454, -13.3365, -13.9306, -14.2521]
>> QUESTION #109   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.0256, -17.3407, -12.0977, -17.403]
>> QUESTION #110   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-14.0162, -14.8263, -13.6079, -13.0731]
>> QUESTION #111   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.0264, -17.0413, -11.9664, -15.0202]
>> QUESTION #112   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.5294, -14.9686, -13.2696, -13.8992]
>> QUESTION #113   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.5158, -14.7251, -13.8192, -12.5597]
>> QUESTION #114   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-16.2646, -16.8928, -13.3846, -14.9991]
>> QUESTION #115   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.4552, -13.8239, -15.3579, -15.1757]
>> QUESTION #116   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.3263, -12.8306, -15.1172, -15.2476]
>> QUESTION #117   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.6893, -15.4136, -13.114, -14.3378]
>> QUESTION #118   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.1533, -13.1409, -13.837, -13.332]
>> QUESTION #119   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.0423, -12.4723, -14.464, -14.9307]
>> QUESTION #120   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.2442, -13.3028, -16.0689, -15.6986]
>> QUESTION #121   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.762, -13.022, -12.3957, -13.4483]
>> QUESTION #122   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.6104, -15.6551, -13.5297, -15.5191]
>> QUESTION #123   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.1437, -12.8208, -13.9163, -14.2082]
>> QUESTION #124   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.1056, -13.3176, -12.8504, -14.997]
>> QUESTION #125   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.8331, -13.3216, -13.9901, -13.3965]
>> QUESTION #126   | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-14.1136, -13.192, -17.8304, -14.6081]
>> QUESTION #127   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.1744, -14.1496, -13.0894, -14.2932]
>> QUESTION #128   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.3599, -15.3161, -18.1963, -14.1215]
>> QUESTION #129   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.553, -15.0564, -16.2547, -14.2512]
>> QUESTION #130   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.0811, -14.6732, -16.0838, -13.5458]
>> QUESTION #131   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-17.2142, -15.3514, -15.7858, -14.9506]
>> QUESTION #132   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.4138, -14.8992, -14.2327, -13.2921]
>> QUESTION #133   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.7373, -15.7688, -14.8674, -14.2275]
>> QUESTION #134   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.0761, -12.709, -14.4496, -14.7612]
>> QUESTION #135   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.9718, -15.6266, -13.2321, -14.0947]
>> QUESTION #136   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.539, -12.5004, -15.4196, -14.5426]
>> QUESTION #137   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.9727, -13.581, -13.965, -13.0616]
>> QUESTION #138   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.662, -13.6054, -18.6398, -14.9299]
>> QUESTION #139   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.8865, -14.1184, -13.6363, -14.5909]
>> QUESTION #140   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.0156, -15.1773, -14.197, -14.0005]
>> QUESTION #141   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.8855, -15.2858, -13.395, -13.1295]
>> QUESTION #142   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.0322, -15.3173, -14.6935, -14.2463]
>> QUESTION #143   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.8106, -18.918, -14.2701, -12.5142]
>> QUESTION #144   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-15.6726, -15.0152, -14.3576, -15.6048]
>> QUESTION #145   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.2222, -13.7016, -14.3425, -12.76]
>> QUESTION #146   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.7855, -16.5391, -16.4484, -16.9549]
>> QUESTION #147   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.0658, -12.2454, -15.0031, -14.3916]
>> QUESTION #148   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.5655, -14.763, -14.3029, -15.4142]
>> QUESTION #149   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.6451, -13.6033, -16.0151, -13.6872]
>> QUESTION #150   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.9651, -15.8925, -15.18, -12.9593]
>> QUESTION #151   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.9762, -13.4716, -17.3602, -18.0141]
>> QUESTION #152   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.2404, -12.6204, -12.5203, -15.3871]
>> QUESTION #153   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.3412, -14.9998, -16.3488, -14.7966]
>> QUESTION #154   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-18.6525, -18.6914, -12.1767, -15.7567]
>> QUESTION #155   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.2999, -14.0106, -13.5062, -13.2695]
>> QUESTION #156   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-16.337, -16.3427, -17.6751, -14.9296]
>> QUESTION #157   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.9089, -13.0307, -15.7189, -14.1468]
>> QUESTION #158   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.2281, -18.2973, -16.311, -12.9636]
>> QUESTION #159   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.1532, -14.6286, -13.2058, -14.3324]
>> QUESTION #160   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.4707, -14.7128, -11.768, -15.0369]
>> QUESTION #161   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.1469, -16.3726, -13.3489, -15.3131]
>> QUESTION #162   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-16.0131, -15.0589, -12.4642, -15.678]
>> QUESTION #163   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.5764, -18.4722, -14.3275, -14.0507]
>> QUESTION #164   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.2785, -13.3307, -14.0885, -14.3105]
>> QUESTION #165   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.852, -20.8109, -20.2892, -19.9687]
>> QUESTION #166   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.4196, -14.7908, -12.49, -13.0593]
>> QUESTION #167   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.5193, -15.2302, -14.5894, -13.0394]
>> QUESTION #168   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.0736, -12.9936, -14.5147, -16.4088]
>> QUESTION #169   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-15.2026, -14.4524, -14.5622, -12.0058]
>> QUESTION #170   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.7512, -12.4264, -15.3231, -13.3746]
>> QUESTION #171   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.4502, -13.597, -14.5974, -14.7664]
>> QUESTION #172   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.7573, -13.5357, -15.226, -16.3549]
>> QUESTION #173   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-21.5775, -11.9207, -11.8811, -13.0953]
>> QUESTION #174   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.2379, -13.4042, -14.9174, -15.7444]
>> QUESTION #175   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.0087, -13.4014, -15.7924, -15.5015]
>> QUESTION #176   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.6569, -14.0879, -17.8579, -17.8944]
>> QUESTION #177   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.8436, -16.6878, -18.3517, -15.5107]
>> QUESTION #178   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.4026, -16.2004, -14.8641, -16.4741]
>> QUESTION #179   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.4031, -16.0386, -13.9327, -14.8289]
>> QUESTION #180   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.1827, -13.104, -12.408, -14.3652]
>> QUESTION #181   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.5151, -15.2189, -16.1909, -12.2616]
>> QUESTION #182   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.8936, -15.3859, -12.7428, -14.9074]
>> QUESTION #183   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.1625, -16.7434, -14.5826, -13.5603]
>> QUESTION #184   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.284, -12.9168, -12.4344, -15.4731]
>> QUESTION #185   | Ground Truth: 3 | Answer: 2 | ✘
