================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: index
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 0 | ✔
>> QUESTION #70    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.0654, -14.3896, -16.6152, -15.2937]
>> QUESTION #71    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.8276, -11.511, -14.4528, -13.0378]
>> QUESTION #72    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0556, -10.3785, -13.4982, -13.8276]
>> QUESTION #73    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.0324, -12.5363, -14.996, -14.2627]
>> QUESTION #74    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.3798, -10.8217, -14.4385, -13.8379]
>> QUESTION #75    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8936, -12.9067, -13.936, -15.502]
>> QUESTION #76    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.1282, -11.6433, -14.5909, -16.8793]
>> QUESTION #77    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.7088, -11.7849, -14.8329, -16.2234]
>> QUESTION #78    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1502, -12.1636, -16.2951, -15.2172]
>> QUESTION #79    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8984, -13.9088, -14.5816, -14.2637]
>> QUESTION #80    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6499, -13.8858, -16.6712, -15.2018]
>> QUESTION #81    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3122, -12.462, -15.0896, -13.5149]
>> QUESTION #82    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1025, -11.4539, -13.4447, -12.3718]
>> QUESTION #83    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0679, -11.6254, -14.3919, -13.5699]
>> QUESTION #84    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.2118, -11.8614, -13.913, -13.9184]
>> QUESTION #85    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.9182, -13.7346, -16.3208, -17.2142]
>> QUESTION #86    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.3283, -11.5095, -16.8911, -15.2068]
>> QUESTION #87    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0345, -11.6289, -14.8857, -13.7919]
>> QUESTION #88    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6375, -10.6397, -13.2037, -13.2184]
>> QUESTION #89    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.8042, -14.063, -15.1026, -14.8209]
>> QUESTION #90    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.3776, -12.6082, -16.4887, -16.9786]
>> QUESTION #91    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8375, -13.3111, -13.3485, -13.4134]
>> QUESTION #92    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1305, -11.6606, -15.3198, -13.548]
>> QUESTION #93    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.5839, -13.1908, -14.5, -12.7092]
>> QUESTION #94    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2161, -11.2878, -13.629, -15.3072]
>> QUESTION #95    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6559, -13.0405, -16.248, -16.6017]
>> QUESTION #96    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1051, -14.3887, -15.6582, -15.9996]
>> QUESTION #97    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3178, -11.8724, -14.9764, -16.5438]
>> QUESTION #98    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.6089, -12.2653, -15.2683, -15.2502]
>> QUESTION #99    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.7492, -12.627, -14.4314, -13.7635]
>> QUESTION #100   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.662, -12.6515, -16.6282, -15.92]
>> QUESTION #101   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4707, -13.6885, -15.4846, -14.8343]
>> QUESTION #102   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8975, -13.9216, -14.1922, -15.386]
>> QUESTION #103   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.7136, -12.2255, -16.2174, -15.1521]
>> QUESTION #104   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.9691, -10.9151, -13.6337, -12.7379]
>> QUESTION #105   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3721, -12.4025, -14.8733, -15.6428]
>> QUESTION #106   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6434, -12.0245, -14.6227, -15.6576]
>> QUESTION #107   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.6821, -14.0948, -14.9818, -13.478]
>> QUESTION #108   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1606, -13.0086, -14.2785, -13.6793]
>> QUESTION #109   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.8292, -11.7746, -16.0059, -14.0499]
>> QUESTION #110   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6314, -12.5673, -16.5392, -16.9013]
>> QUESTION #111   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1099, -12.0557, -14.3368, -14.1532]
>> QUESTION #112   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.321, -12.6262, -17.235, -14.8092]
>> QUESTION #113   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.7232, -12.2635, -14.7571, -16.1661]
>> QUESTION #114   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.414, -12.9224, -17.2162, -15.7771]
>> QUESTION #115   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1242, -13.6437, -16.493, -14.3916]
>> QUESTION #116   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.8198, -15.1687, -14.9844, -15.2649]
>> QUESTION #117   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.5252, -13.4016, -16.945, -14.5971]
>> QUESTION #118   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.5441, -9.7681, -14.2432, -14.2786]
>> QUESTION #119   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.6955, -13.0528, -13.6048, -12.0689]
>> QUESTION #120   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6976, -14.5414, -15.4068, -14.259]
>> QUESTION #121   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8649, -11.2925, -16.2841, -14.2413]
>> QUESTION #122   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6796, -12.082, -15.3522, -14.298]
>> QUESTION #123   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.8547, -13.0194, -14.3934, -12.3256]
>> QUESTION #124   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.3709, -9.8695, -12.3666, -11.4826]
>> QUESTION #125   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.1265, -10.1147, -12.8607, -13.0446]
>> QUESTION #126   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.3954, -12.6003, -13.6215, -13.3739]
>> QUESTION #127   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.8181, -13.1126, -16.1352, -14.2731]
>> QUESTION #128   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.1324, -10.555, -13.9072, -13.1118]
>> QUESTION #129   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8043, -12.0239, -14.8767, -15.2033]
>> QUESTION #130   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.5489, -12.8988, -14.9828, -16.7849]
>> QUESTION #131   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.777, -12.4328, -13.2518, -14.3046]
>> QUESTION #132   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.8901, -10.0065, -13.0176, -12.5632]
>> QUESTION #133   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.6024, -13.4883, -15.7654, -15.2838]
>> QUESTION #134   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8723, -11.8208, -14.923, -14.0185]
>> QUESTION #135   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1801, -10.8626, -13.2058, -13.3489]
>> QUESTION #136   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.0157, -13.2075, -14.9497, -13.7138]
>> QUESTION #137   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4392, -13.5546, -14.8826, -16.8903]
>> QUESTION #138   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0907, -14.0048, -15.781, -14.7295]
>> QUESTION #139   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.4574, -11.4427, -14.9161, -14.1665]
>> QUESTION #140   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.8179, -14.6586, -16.6037, -17.3241]
>> QUESTION #141   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0417, -12.3051, -15.2937, -14.7238]
>> QUESTION #142   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2438, -11.5201, -14.4734, -13.2216]
>> QUESTION #143   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.1447, -11.0196, -13.3366, -17.4463]
>> QUESTION #144   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.5263, -12.4472, -14.8427, -15.4096]
>> QUESTION #145   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1257, -12.8749, -13.784, -14.0504]
>> QUESTION #146   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8552, -10.4497, -12.4546, -13.8066]
>> QUESTION #147   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8905, -12.5764, -14.2408, -14.1691]
>> QUESTION #148   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.7431, -11.3835, -13.4039, -13.0718]
>> QUESTION #149   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0159, -14.4149, -15.9682, -16.1332]
>> QUESTION #150   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.8846, -11.3591, -15.2417, -17.0406]
>> QUESTION #151   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.6145, -15.4734, -16.2513, -16.0819]
>> QUESTION #152   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.8127, -9.6283, -13.4279, -12.4762]
>> QUESTION #153   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6821, -13.306, -13.9884, -15.125]
>> QUESTION #154   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0439, -12.1062, -15.2966, -13.7162]
>> QUESTION #155   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.5181, -12.7761, -15.4795, -13.1201]
>> QUESTION #156   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.222, -10.4458, -13.6427, -12.7443]
>> QUESTION #157   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.3297, -13.2715, -13.8476, -13.4306]
>> QUESTION #158   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6921, -13.3552, -14.1566, -16.5916]
>> QUESTION #159   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.7026, -13.4018, -16.1541, -13.1045]
>> QUESTION #160   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2818, -11.779, -14.5562, -13.8919]
>> QUESTION #161   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.0863, -13.6808, -16.9513, -15.7119]
>> QUESTION #162   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.4506, -10.4406, -14.9955, -12.4407]
>> QUESTION #163   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9884, -12.9991, -15.3164, -14.2942]
>> QUESTION #164   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.1883, -13.0722, -14.5085, -13.9011]
>> QUESTION #165   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6743, -13.1109, -15.3371, -14.5423]
>> QUESTION #166   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4359, -12.4071, -15.5233, -17.236]
>> QUESTION #167   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.5454, -10.8857, -15.2192, -13.4866]
>> QUESTION #168   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1663, -14.0014, -14.5788, -14.8404]
>> QUESTION #169   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.2976, -13.0411, -15.1633, -16.3792]
>> QUESTION #170   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-9.5371, -9.1875, -11.1089, -13.1586]
>> QUESTION #171   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.7566, -12.0202, -13.7937, -13.1919]
>> QUESTION #172   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.5765, -14.7583, -15.512, -15.3444]
>> QUESTION #173   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.6687, -13.3868, -15.8335, -16.5367]
>> QUESTION #174   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2947, -13.0586, -14.6228, -15.4593]
>> QUESTION #175   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2908, -13.2598, -14.1364, -14.0164]
>> QUESTION #176   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0765, -11.8481, -15.0659, -14.643]
>> QUESTION #177   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6015, -12.1634, -11.5349, -15.3393]
>> QUESTION #178   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6007, -11.8519, -16.2433, -14.1825]
>> QUESTION #179   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9671, -11.339, -13.6975, -12.4079]
>> QUESTION #180   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.5125, -9.8892, -15.6626, -12.7395]
>> QUESTION #181   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0664, -10.6089, -13.0841, -15.6351]
>> QUESTION #182   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.1383, -10.9421, -17.1402, -15.354]
>> QUESTION #183   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.5992, -10.5359, -14.0976, -13.4574]
>> QUESTION #184   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.6834, -9.5187, -13.6048, -14.5146]
>> QUESTION #185   | Ground Truth: 3 | Answer: 0 | ✘
