================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt-j
Model Version: EleutherAI/gpt-j-6B
Answer Mode: index-desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.1652, -14.5217, -12.7276, -12.5628]
>> QUESTION #75    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0615, -11.9397, -11.6808, -12.3926]
>> QUESTION #76    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.603, -11.2527, -11.2681, -10.3833]
>> QUESTION #77    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.8703, -11.8382, -12.0704, -10.4324]
>> QUESTION #78    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4861, -12.9293, -12.4769, -11.9645]
>> QUESTION #79    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.7453, -10.2524, -12.2607, -14.4765]
>> QUESTION #80    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.1537, -12.441, -10.9067, -11.7964]
>> QUESTION #81    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2417, -13.8211, -11.9697, -11.5109]
>> QUESTION #82    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.1153, -12.2098, -12.1411, -11.6069]
>> QUESTION #83    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2582, -11.4807, -11.9823, -11.5748]
>> QUESTION #84    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.2938, -12.3202, -12.6753, -11.4041]
>> QUESTION #85    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.3847, -11.4643, -11.5622, -9.9549]
>> QUESTION #86    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.3628, -13.1551, -11.0916, -12.2648]
>> QUESTION #87    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.9556, -13.5571, -13.6171, -13.5999]
>> QUESTION #88    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.1794, -12.2297, -11.226, -11.9811]
>> QUESTION #89    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.395, -10.5234, -11.0038, -12.5636]
>> QUESTION #90    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.9973, -11.8539, -11.8649, -9.7588]
>> QUESTION #91    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.5217, -11.0896, -13.7216, -12.3075]
>> QUESTION #92    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.9195, -11.6786, -10.3548, -12.5529]
>> QUESTION #93    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6164, -12.0479, -10.9575, -11.8539]
>> QUESTION #94    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.0905, -12.8803, -13.1519, -10.3814]
>> QUESTION #95    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.1464, -13.6883, -13.1375, -10.7132]
>> QUESTION #96    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.0677, -10.171, -11.6856, -12.277]
>> QUESTION #97    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.5789, -12.9154, -12.4495, -11.0216]
>> QUESTION #98    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.9962, -10.763, -10.7932, -10.5853]
>> QUESTION #99    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.7151, -10.7154, -12.1181, -11.2582]
>> QUESTION #100   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.2207, -12.6253, -10.4317, -13.8604]
>> QUESTION #101   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1828, -11.5525, -13.3629, -11.7838]
>> QUESTION #102   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.0116, -11.8223, -12.1747, -11.6443]
>> QUESTION #103   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.8492, -12.9434, -12.0237, -14.2284]
>> QUESTION #104   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.7931, -10.5465, -12.3298, -10.0788]
>> QUESTION #105   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.5515, -12.6518, -12.4724, -10.3408]
>> QUESTION #106   | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-10.8816, -10.0703, -11.8229, -11.1925]
>> QUESTION #107   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.4519, -10.097, -11.0426, -11.2115]
>> QUESTION #108   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.0046, -10.3835, -11.9782, -11.4522]
>> QUESTION #109   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.6458, -14.1335, -10.7402, -13.4898]
>> QUESTION #110   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-11.9311, -11.8725, -10.4523, -10.0786]
>> QUESTION #111   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4555, -13.5932, -10.5619, -11.9979]
>> QUESTION #112   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.4922, -11.1765, -10.576, -11.8835]
>> QUESTION #113   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.4466, -10.5063, -10.056, -10.0635]
>> QUESTION #114   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-12.3274, -13.9031, -10.571, -11.4195]
>> QUESTION #115   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.8676, -10.5596, -12.0204, -12.1969]
>> QUESTION #116   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.5072, -10.6348, -11.7143, -11.4082]
>> QUESTION #117   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.0618, -11.7499, -10.8529, -10.816]
>> QUESTION #118   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.9973, -12.2445, -12.1693, -12.5009]
>> QUESTION #119   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.4776, -10.4377, -11.8474, -11.4042]
>> QUESTION #120   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.9821, -10.103, -12.0023, -11.6444]
>> QUESTION #121   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.2058, -11.2636, -10.4348, -10.8771]
>> QUESTION #122   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2707, -12.8516, -10.9406, -12.0075]
>> QUESTION #123   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.9925, -11.1396, -12.0361, -11.7783]
>> QUESTION #124   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-10.8179, -10.8647, -10.5926, -11.6216]
>> QUESTION #125   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4952, -12.0774, -11.8223, -12.2066]
>> QUESTION #126   | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-11.2977, -10.3434, -13.467, -12.2375]
>> QUESTION #127   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.6451, -13.8675, -11.5572, -13.5209]
>> QUESTION #128   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.6014, -12.1358, -12.993, -11.0666]
>> QUESTION #129   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4682, -11.2636, -11.6853, -10.7813]
>> QUESTION #130   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.0713, -11.9618, -12.9592, -10.7695]
>> QUESTION #131   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.658, -12.0236, -12.4071, -11.3221]
>> QUESTION #132   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.5028, -12.6198, -11.5564, -11.8975]
>> QUESTION #133   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.7826, -12.4808, -12.0199, -11.8929]
>> QUESTION #134   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.7674, -11.3486, -12.4123, -11.9039]
>> QUESTION #135   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6448, -13.6216, -11.49, -11.5732]
>> QUESTION #136   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.3615, -11.1017, -12.5695, -12.0787]
>> QUESTION #137   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.5918, -10.8726, -11.1062, -10.2583]
>> QUESTION #138   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.4201, -10.3722, -14.1164, -12.0431]
>> QUESTION #139   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.281, -11.7005, -11.3751, -12.3839]
>> QUESTION #140   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.6783, -12.5709, -12.1288, -11.2235]
>> QUESTION #141   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0131, -12.2838, -10.9572, -11.369]
>> QUESTION #142   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.9223, -13.072, -12.7105, -11.9822]
>> QUESTION #143   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.5877, -14.2661, -11.8078, -10.4883]
>> QUESTION #144   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-11.5401, -11.2604, -11.1606, -11.4567]
>> QUESTION #145   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8216, -10.8825, -11.2067, -10.4413]
>> QUESTION #146   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.413, -13.9817, -13.5213, -12.7782]
>> QUESTION #147   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.3552, -10.3955, -13.1174, -12.2197]
>> QUESTION #148   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.9644, -11.1261, -10.7593, -11.6064]
>> QUESTION #149   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.7749, -10.4555, -12.5332, -11.7565]
>> QUESTION #150   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.4235, -12.1355, -11.8897, -10.3239]
>> QUESTION #151   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.9561, -11.3609, -12.8346, -13.2453]
>> QUESTION #152   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.8783, -11.2763, -10.5916, -12.5304]
>> QUESTION #153   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.279, -11.9279, -13.1584, -12.0173]
>> QUESTION #154   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.4852, -13.5861, -10.3549, -11.5]
>> QUESTION #155   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6654, -11.3664, -10.9694, -11.232]
>> QUESTION #156   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.3361, -12.6913, -14.1977, -11.5079]
>> QUESTION #157   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.4993, -10.2243, -12.7135, -11.3037]
>> QUESTION #158   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.7979, -12.458, -12.0175, -9.8165]
>> QUESTION #159   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.5256, -12.4018, -10.4393, -11.5902]
>> QUESTION #160   | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.5651, -12.2815, -11.1482, -11.8875]
>> QUESTION #161   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.7024, -13.4169, -10.9508, -12.6386]
>> QUESTION #162   | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-12.7699, -12.2521, -10.3986, -13.2029]
>> QUESTION #163   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.3997, -13.1396, -11.6559, -11.4909]
>> QUESTION #164   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.6522, -10.2612, -11.4546, -11.2951]
>> QUESTION #165   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.9486, -14.1132, -13.0597, -13.2879]
>> QUESTION #166   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-11.8988, -12.1427, -11.498, -10.5798]
>> QUESTION #167   | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.5498, -11.9675, -12.0781, -11.6788]
>> QUESTION #168   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.557, -11.8051, -12.565, -13.2303]
>> QUESTION #169   | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-11.8161, -12.7784, -11.7421, -9.7079]
>> QUESTION #170   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.0988, -11.7488, -13.4206, -12.5662]
>> QUESTION #171   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3603, -10.6268, -10.8419, -11.8456]
>> QUESTION #172   | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.6018, -10.4658, -11.0265, -11.5049]
>> QUESTION #173   | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.5473, -10.0177, -9.892, -9.3845]
>> QUESTION #174   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.8348, -10.4063, -10.9927, -11.9318]
>> QUESTION #175   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.6874, -10.7856, -12.5677, -12.2755]
>> QUESTION #176   | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.7833, -12.6466, -13.1031, -13.6893]
>> QUESTION #177   | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1428, -13.7548, -13.7451, -11.7158]
>> QUESTION #178   | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.7247, -12.8886, -12.6437, -12.6701]
>> QUESTION #179   | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.5409, -12.0309, -11.8234, -11.1582]
>> QUESTION #180   | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.0317, -11.3442, -10.1918, -11.7459]
>> QUESTION #181   | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.852, -12.681, -13.3112, -9.9819]
>> QUESTION #182   | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.9805, -11.5153, -10.0511, -11.217]
>> QUESTION #183   | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0578, -12.5968, -11.2115, -10.4167]
>> QUESTION #184   | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.3365, -10.4989, -10.6686, -13.4951]
